location_type,parent_station,stop_code,stop_id,stop_lat,stop_lon,stop_name,wheelchair_boarding,zone_id
1,,,10000,4.565647326811068,-74.09712577981026,Portal 20  de Julio,1,
1,,,10001,4.571074261167896,-74.09875934090645,Country Sur,1,
1,,,10002,4.576669423037584,-74.09389868591057,Av. Primero de Mayo,1,
1,,,10003,4.581634606917259,-74.09021557612867,Ciudad Jardín - UAN,1,
1,,,10004,4.5864652406770565,-74.08680305612309,Policarpa,1,
1,,,10005,4.593138999630649,-74.08247142569019,Bicentenario,1,
1,,,10006,4.60068211259369,-74.0776054047728,San Victorino,1,
1,,,10007,4.605841074560218,-74.0744807132552,Las Nieves,1,
1,,,10008,4.611267125243059,-74.07125694928101,San Diego,1,
1,,,10009,4.615377050772202,-74.06912730740493,Museo Nacional,1,
1,,,10010,4.590265558191194,-74.08419652699578,Estación San Bernardo,1,
1,,,12000,4.625779171249597,-74.10480752878725,Puente Aranda,1,
1,,,12001,4.622870276317115,-74.10154040010374,Carrera 43 - Comapan,1,
1,,,12002,4.616095127350134,-74.09396174519667,CDS Carrera 32,1,
1,,,12003,4.612931094242774,-74.09041856067837,Ricaurte,1,
1,,,12004,4.609636770944225,-74.08669806966438,San Facon Carrera 22,1,
1,,,12007,4.62022258223004,-74.09861559253565,Zona Industrial,1,
1,,,14001,4.60532908945432,-74.08183775824689,De La Sabana,1,
1,,,14003,4.602964698438709,-74.07903426259492,AVENIDA JIMENEZ,1,
1,,,14004,4.601182286486883,-74.07292844495382,Museo Del Oro,1,
1,,,14005,4.602459798086054,-74.06840039976943,Las Aguas - Centro Colombo Americano,1,
1,,,2000,4.755476318825073,-74.0458863256048,Portal Norte - Unicervantes ,1,
1,,,2001,4.763355906864889,-74.0444828167212,Calle 187,1,
1,,,2101,4.74712529653652,-74.04716047871749,Toberín,1,
1,,,2102,4.742134858291941,-74.04794896258839,Calle 161,1,
1,,,2103,4.73538842203494,-74.04905850413428,Mazurén,1,
1,,,2104,4.731381286447116,-74.04973973334799,Calle 146,1,
1,,,2105,4.726823802222755,-74.05054567393478,Calle 142,1,
1,,,2200,4.7214744367232,-74.05144363697256,Alcalá - Colegio S. Tomás Dominicos,1,
1,,,2201,4.714507397299906,-74.05261359237187,Prado,1,
1,,,2202,4.704501782532772,-74.05429075236736,Calle 127,1,
1,,,2204,4.697993858498275,-74.05534698578067,Pepe Sierra - Utel Universidad,1,
1,,,2205,4.694090131714965,-74.05601210982456,Calle 106,1,
1,,,2300,4.68450050423631,-74.05766576971416,Calle 100 - Marketmedios,1,
1,,,2302,4.676386823439913,-74.05895864609028,Virrey - Cendiatra,1,
1,,,2303,4.671531936869074,-74.05980089332586,Calle 85 - Gato Dumas,1,
1,,,2304,4.66867138773838,-74.06024079317726,Héroes - Colmena Seguros,1,
1,,,2502,4.769015311885727,-74.0434985300129,Terminal,1,
1,,,3000,4.746992732405885,-74.09425254222116,Portal Suba,1,
1,,,3001,4.7426259816963645,-74.09121974847457,La Campiña,1,
1,,,3002,4.738934772617204,-74.08701362057279,Suba - Tv. 91,1,
1,,,3003,4.735570416847883,-74.0811467518342,21 Ángeles,1,
1,,,3004,4.727684551975526,-74.0746931024503,Gratamira,1,
1,,,3005,4.721407874364286,-74.07477893695051,Suba - Av. Boyacá,1,
1,,,3006,4.711973570100845,-74.07232260157913,Niza - Calle 127,1,
1,,,3007,4.70665277767787,-74.07122914156683,Humedal Córdoba,1,
1,,,3009,4.699175160392921,-74.06988290863862,Av. Suba - Calle 116,1,
1,,,3010,4.693531041295032,-74.06719603430075,Puentelargo,1,
1,,,3011,4.6905501022485,-74.06571657496663,Suba - Calle 100 old,1,
1,,,3012,4.684688700445601,-74.06326044839734,Suba - Calle 95,1,
1,,,3013,4.680383809944139,-74.06481444737693,Rionegro,1,
1,,,3014,4.676406715110856,-74.06717507922323,San Martín,1,
1,,,4000,4.709665445034861,-74.11068571966652,Portal 80,1,
1,,,4001,4.70674481060022,-74.10884248740183,Quirigua,1,
1,,,4002,4.704669206383203,-74.10467811013034,Carrera 90,1,
1,,,4003,4.702406768314502,-74.10025204038655,Avenida Cali,1,
1,,,4004,4.699811786531105,-74.09701717051567,Granja - cra 77,1,
1,,,4100,4.698708860608217,-74.09537952945226,Granja - Carrera 77,1,
1,,,4101,4.696653203776699,-74.09159997846277,Minuto De Dios,1,
1,,,4102,4.693865268526482,-74.0877150043069,Boyacá,1,
1,,,4103,4.690931927851365,-74.08466114804759,Ferias,1,
1,,,4104,4.685779659070887,-74.0805803733462,Avenida 68,1,
1,,,4105,4.681765585673839,-74.07742103386592,Carrera 53,1,
1,,,4106,4.6779630789003255,-74.07365287257362,Carrera 47,1,
1,,,4107,4.675545813993987,-74.06985313518702,Escuela Militar,1,
1,,,4108,4.670725761148992,-74.06484298504583,Polo - FINCOMERCIO,1,
0,,080A01_TM,49841,4.738151538063552,-74.03235342252323,Br. La Liberia,1,
0,,070A10_TM,49843,4.58795432249069,-74.12047300033299,Br. Bravo Paez,1,
0,,799A00_TM,49844,4.683184708300828,-74.05068800708169,Br. Chicó Norte III Sector,1,
0,,027A01_TM,49845,4.7507572591748,-74.0435449284121,Br. La Uribe,1,
0,,319A10_TM,49846,4.589480186783418,-74.1204066103392,Br. Villa Mayor Antigua,1,
1,,,5000,4.629568927978893,-74.17322124434452,Portal Américas,1,
1,,,5001,4.63322368004012,-74.16472232907493,Patio Bonito,1,
1,,,5002,4.637998625005345,-74.15938720426973,Biblioteca Tintal,1,
1,,,5005,4.634159421307493,-74.15195719196885,Transversal 86,1,
0,,207A10_TM,50127,4.578082976734462,-74.17855500003424,Br. Santo Domingo,1,
0,,284A10_TM,50128,4.578849770899607,-74.17914219298062,IED Sierra Morena Sede B,1,
0,,446A09_TM,50129,4.598919390907282,-74.1338280050219,Br. La Alquería,1,
0,,407A10_TM,50145,4.578941239509335,-74.14750603925782,Hogar Luis Amigó,1,
0,,408A10_TM,50146,4.578669976698612,-74.14620000003295,Hogar Luis Amigó,1,
0,,067A06_TM,50372,4.664315470484778,-74.13161535890781,C.C. Hayuelos,1,
0,,283A10_TM,50380,4.587196260071438,-74.17739823284832,Br. Los tres Reyes I,1,
0,,405A10_TM,50381,4.587223240288,-74.17759303767262,Mirador de la Estancia,1,
0,,247A00_TM,50382,4.603700535766806,-74.06948155332275,Br. Veracruz,1,
0,,205A10_TM,50388,4.595708240127089,-74.17527003753985,Br. La Estancia,1,
0,,153A00_TM,50389,4.656051549818649,-74.06326568461736,Avenida Caracas,1,
0,,375B06_TM,50417,4.661292700170144,-74.10909688240473,Estación Av. Rojas,1,
0,,402A06_TM,50418,4.6675465289370255,-74.1345606801377,Urb. Capellanía,1,
0,,491A06_TM,50421,4.65642697630096,-74.1300930000426,Colegio La Felicidad,1,
0,,170A06_TM,50425,4.652530848487221,-74.1133751763068,Terminal del Transporte Salitre,1,
0,,377C05_TM,50426,4.6978484513615735,-74.14061419583034,Aeropuerto Eldorado,1,
0,,211A06_TM,50435,4.694813976086573,-74.16808000045992,Br. Puente Grande,1,
0,,243B00_TM,50436,4.606406436545875,-74.07348697952384,Br. Veracruz,1,
0,,805A00_TM,50440,4.632861763355353,-74.06490116089473,Br. Marly,1,
0,,711A00_TM,50495,4.657896236049417,-74.05732504122209,Br. Porciúncula,1,
0,,066A05_TM,50984,4.708208472076829,-74.14048798368277,Br. Los Laureles,1,
0,,066A08_TM,50985,4.634947048783121,-74.1634104115914,Estación Patio Bonito,1,
0,,066B05_TM,50986,4.708821912156687,-74.13964626514536,Br. Los Laureles,1,
0,,066C05_TM,50987,4.708999968176016,-74.1394069806546,Br. Los Laureles,1,
0,,148A09_TM,50989,4.609917370094758,-74.20389770307257,Pq. la Esperanza,1,
0,,177A09_TM,50990,4.603001782181657,-74.19351522254881,Br. Nueva Granada Bosa,1,
0,,253A09_TM,50991,4.630402744786855,-74.20344581662084,Br. Ciudadela El Recreo I,1,
0,,285A08_TM,50993,4.6336071181909615,-74.19839267659641,Parque Público El Recreo,1,
0,,534A09_TM,50994,4.629818667734182,-74.20575428514947,Br. San Bernardino XIX,1,
0,,569A09_TM,50995,4.613752315851317,-74.17528336953734,CAI Roma,1,
1,,,5100,4.6313262187542765,-74.14566342041145,Banderas,1,
1,,,5101,4.630866753616144,-74.14140851785346,Mandalay,1,
1,,,5102,4.630107054921204,-74.13419691112769,Av Américas - Av. Boyacá,1,
1,,,5103,4.629683789281195,-74.130386601506,Marsella,1,
1,,,5105,4.628504032266194,-74.11861370647591,Pradera - Plaza Central,1,
0,,001A09_TM,51050,4.598299651013182,-74.13624777163442,Br. Alquería La Fragua II,1,
0,,001B09_TM,51051,4.598048627179898,-74.13643560579392,Br. Alquería La Fragua II,1,
0,,002A09_TM,51052,4.59782274410636,-74.13615851525282,Br. Alquería,1,
0,,002B09_TM,51053,4.597410745697309,-74.13640273270404,Br. Alquería,1,
0,,002C09_TM,51054,4.597157054149657,-74.13658441924153,Br. Alquería,1,
0,,003A09_TM,51055,4.600039942430307,-74.12317198520597,Urb. Santa Rita,1,
0,,004A09_TM,51056,4.60011747343598,-74.12336331637339,Pq. Santa Rita I Sector,1,
0,,005A09_TM,51057,4.597825387792636,-74.12497924574167,Barrio San Luis,1,
0,,006A09_TM,51058,4.598321631418314,-74.12482928038904,Br. Autopista Sur,1,
0,,007A09_TM,51059,4.5948390392266045,-74.12625678894828,Urb. Villa Sonia,1,
0,,008A09_TM,51060,4.595030930631454,-74.12646630160694,Urb Villa Sonia,1,
0,,009A09_TM,51061,4.606865103671123,-74.18083265985516,Urbanización La Capilla,1,
0,,010A09_TM,51062,4.606709852519376,-74.18047093204652,Br. José Antonio Galán,1,
0,,011A09_TM,51063,4.602496508144812,-74.17928151302812,Br. La Estancia,1,
0,,012A09_TM,51064,4.602768225326508,-74.17907045270583,Br. Villa Nhora,1,
0,,001A04_TM,51066,4.682598231464024,-74.08036708623088,Avenida Calle 80,1,
0,,001B04_TM,51067,4.6824338933113765,-74.08055266956367,Avenida Calle 80,1,
0,,001C04_TM,51068,4.682156833128285,-74.08091486241007,AC 80,1,
0,,002A04_TM,51069,4.690299086679534,-74.092627615296,Br. Bonanza,1,
1,,,5107,4.627891877862852,-74.11167397833711,Distrito Grafiti,1,
0,,002B04_TM,51070,4.6901743286257975,-74.09273317332406,Br. Bonanza,1,
0,,003A04_TM,51071,4.669111005946445,-74.07504604932858,Br. 12 de Octubre,1,
0,,004A04_TM,51072,4.695871670980112,-74.10522829411246,Br. La Soledad Norte,1,
0,,005A04_TM,51073,4.697552415988638,-74.10509573726657,Br. Florencia,1,
0,,006A04_TM,51074,4.69777930844747,-74.10469239964615,Br. La Soledad Norte,1,
0,,007A04_TM,51075,4.701048464949501,-74.10235696809723,Br. La Granja,1,
0,,008A04_TM,51076,4.705815975945158,-74.09861999985517,Br. La Española,1,
0,,009A04_TM,51077,4.707810763130123,-74.09661975523096,Br. La Serena,1,
0,,010A04_TM,51078,4.710577049023351,-74.09412155787554,Br. Los Cerezos,1,
0,,011A04_TM,51079,4.710624115365089,-74.09383150110067,Br. La Serena,1,
0,,012A04_TM,51080,4.666409645385802,-74.07819119707479,Hsp. Infantil San José,1,
0,,014A09_TM,51081,4.619653800630041,-74.13896345253558,Br. Hipotecho Occidental,1,
0,,014B09_TM,51082,4.61999909371344,-74.13887504554567,Br. Hipotecho Occidental,1,
0,,014C09_TM,51083,4.618533724039059,-74.13919855027393,Br. Hipotecho Occidental,1,
0,,014D09_TM,51084,4.617822238864026,-74.13938303854975,Br. Hipotecho Occidental,1,
0,,015A09_TM,51085,4.61605261018555,-74.14038689071373,Avenida 1 de Mayo,1,
0,,015B09_TM,51086,4.617705238877974,-74.13995603852446,Avenida 1 de Mayo,1,
0,,016A09_TM,51087,4.606896929562217,-74.14204814243881,IED Alfonso López Pumarejo,1,
0,,016B09_TM,51088,4.607617397557965,-74.14180511298983,IED Alfonso López Pumarejo,1,
0,,017A09_TM,51089,4.60172397625394,-74.14399900037465,Br. El Progreso I Sector,1,
0,,017B09_TM,51090,4.603584568346263,-74.1432879243956,Br. El Progreso I Sector,1,
0,,018A09_TM,51091,4.614122197016414,-74.16182566224424,Br. Timiza,1,
0,,019A09_TM,51092,4.612332121968442,-74.16142254731382,Br. Tocarema,1,
0,,020A09_TM,51093,4.610711163750632,-74.16116013928583,Br. Lagos de Timiza II,1,
0,,021A09_TM,51094,4.608715512751802,-74.16154320648955,Urb. Lago de Timiza,1,
0,,022A09_TM,51095,4.608754559498391,-74.16131974666372,Br. Timiza B,1,
0,,012B04_TM,51096,4.666004337728719,-74.07793213551037,Hsp. Infantil San José,1,
0,,013A04_TM,51097,4.668926233963012,-74.07994206925349,Pq. Público Modelo,1,
0,,013B04_TM,51098,4.66825190280736,-74.07949621180614,Pq. Público Modelo,1,
0,,014A04_TM,51099,4.6843682367422845,-74.09137003890463,Br. Bonanza,1,
0,,015A04_TM,51100,4.67884946138794,-74.08485666026759,Pq. Metrópolis,1,
0,,015B04_TM,51101,4.678669087469649,-74.08500799132821,Pq. Metrópolis,1,
0,,015C04_TM,51102,4.678006628944896,-74.08544928688343,Pq.Metrópolis,1,
0,,016A04_TM,51103,4.709763100754357,-74.11174096272381,Centro Comercial Portal de la 80,1,
0,,017A04_TM,51104,4.7251656808620695,-74.12384034974346,Gimnasio Moderno Montesoriano,1,
0,,018A04_TM,51105,4.72352256085654,-74.12299917499718,Br. Engativá El Dorado,1,
0,,019A04_TM,51106,4.706188236530434,-74.09241003825304,Br. La Serena,1,
0,,020A04_TM,51107,4.707141962060712,-74.09208754004463,Br. La Serena,1,
0,,021A04_TM,51108,4.714658733605629,-74.09955824284815,Br. Ciudad Bachué I Etapa,1,
